"wordrep"	"letters"	"word_accuracy"	"best_match"	"str_distance"	"correct_word_length"	"proportion_letter_correct"	"iksis"	"responses"	"suppression"	"subject"
"137"	"effective"	"e"	1	"effective"	0	9	1	705	"e"	"Normal"	"p10crandom.txt"
"138"	"effective"	"f"	1	"effective"	0	9	1	263	"f"	"Normal"	"p10crandom.txt"
"139"	"effective"	"f"	1	"effective"	0	9	1	144	"f"	"Normal"	"p10crandom.txt"
"140"	"effective"	"e"	1	"effective"	0	9	1	265	"e"	"Normal"	"p10crandom.txt"
"141"	"effective"	"c"	1	"effective"	0	9	1	199	"c"	"Normal"	"p10crandom.txt"
"142"	"effective"	"t"	1	"effective"	0	9	1	256	"t"	"Normal"	"p10crandom.txt"
"143"	"effective"	"i"	1	"effective"	0	9	1	136	"i"	"Normal"	"p10crandom.txt"
"144"	"effective"	"v"	1	"effective"	0	9	1	192	"v"	"Normal"	"p10crandom.txt"
"145"	"effective"	"e"	1	"effective"	0	9	1	177	"e"	"Normal"	"p10crandom.txt"
"146"	"sheep"	"s"	1	"sheep"	0	5	1	184	"s"	"Normal"	"p10crandom.txt"
"147"	"sheep"	"h"	1	"sheep"	0	5	1	496	"h"	"Normal"	"p10crandom.txt"
"148"	"sheep"	"e"	1	"sheep"	0	5	1	128	"e"	"Normal"	"p10crandom.txt"
"149"	"sheep"	"e"	1	"sheep"	0	5	1	160	"e"	"Normal"	"p10crandom.txt"
"150"	"sheep"	"p"	1	"sheep"	0	5	1	144	"p"	"Normal"	"p10crandom.txt"
"151"	"workerd"	"w"	0	"workers"	1	7	0.857142857142857	208	"w"	"Normal"	"p10crandom.txt"
"152"	"workerd"	"o"	0	"workers"	1	7	0.857142857142857	152	"o"	"Normal"	"p10crandom.txt"
"153"	"workerd"	"r"	0	"workers"	1	7	0.857142857142857	344	"r"	"Normal"	"p10crandom.txt"
"154"	"workerd"	"k"	0	"workers"	1	7	0.857142857142857	680	"k"	"Normal"	"p10crandom.txt"
"155"	"workerd"	"e"	0	"workers"	1	7	0.857142857142857	464	"e"	"Normal"	"p10crandom.txt"
"156"	"workerd"	"r"	0	"workers"	1	7	0.857142857142857	288	"r"	"Normal"	"p10crandom.txt"
"157"	"workerd"	"d"	0	"workers"	1	7	0.857142857142857	216	"d"	"Normal"	"p10crandom.txt"
"158"	"hoever"	"h"	0	"however"	1	7	0.857142857142857	688	"h"	"Normal"	"p10crandom.txt"
"159"	"hoever"	"o"	0	"however"	1	7	0.857142857142857	88	"o"	"Normal"	"p10crandom.txt"
"160"	"hoever"	"e"	0	"however"	1	7	0.857142857142857	864	"e"	"Normal"	"p10crandom.txt"
"161"	"hoever"	"v"	0	"however"	1	7	0.857142857142857	1345	"v"	"Normal"	"p10crandom.txt"
"162"	"hoever"	"e"	0	"however"	1	7	0.857142857142857	167	"e"	"Normal"	"p10crandom.txt"
"163"	"hoever"	"r"	0	"however"	1	7	0.857142857142857	64	"r"	"Normal"	"p10crandom.txt"
"164"	"long"	"l"	1	"long"	0	4	1	721	"l"	"Normal"	"p10crandom.txt"
"165"	"long"	"o"	1	"long"	0	4	1	159	"o"	"Normal"	"p10crandom.txt"
"166"	"long"	"n"	1	"long"	0	4	1	168	"n"	"Normal"	"p10crandom.txt"
"167"	"long"	"g"	1	"long"	0	4	1	104	"g"	"Normal"	"p10crandom.txt"
