"iksis"	"letters"	"words"	"closest"	"accuracy"	"distance"	"propCorrect"	"suppression"	"subject"	"VoiceCondition"	"ChunkCondition"	"LetterPosition"	"LetterType"
"78"	192	"r"	"Their"	"Their"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"79"	720	" "	"natural"	"natural"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"80"	840	"n"	"natural"	"natural"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"81"	320	"a"	"natural"	"natural"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"82"	648	"t"	"natural"	"natural"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"83"	408	"u"	"natural"	"natural"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"84"	976	"r"	"natural"	"natural"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"85"	232	"a"	"natural"	"natural"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	6	"Middle"
"86"	184	"l"	"natural"	"natural"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	7	"Middle"
"87"	848	" "	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"88"	680	"a"	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"89"	432	"t"	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"90"	224	"h"	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"91"	1600	"l"	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"92"	208	"e"	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"93"	440	"t"	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	6	"Middle"
"94"	880	"i"	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	7	"Middle"
"95"	216	"c"	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	8	"Middle"
"96"	312	"i"	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	9	"Middle"
"97"	280	"s"	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	10	"Middle"
"98"	336	"m"	"athleticism"	"athleticism"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	11	"Middle"
"99"	264	" "	"and"	"and"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"100"	256	"a"	"and"	"and"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"101"	120	"n"	"and"	"and"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"102"	184	"d"	"and"	"and"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"103"	240	" "	"keenness"	"keenness"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"104"	792	"k"	"keenness"	"keenness"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"105"	280	"e"	"keenness"	"keenness"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"106"	144	"e"	"keenness"	"keenness"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"107"	248	"n"	"keenness"	"keenness"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"108"	944	"n"	"keenness"	"keenness"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"109"	224	"e"	"keenness"	"keenness"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	6	"Middle"
